category;title;tags;age_rating;rating_description;description;image;duration_txt;duration_sec;first_broadcast;synopsis_small;synopsis_medium;synopsis_large
CBBC;Operation Ouch! - Series 9: 11. Blink and You’ll Miss It!;BBC, iPlayer, TV, Operation Ouch!, Series 9: 11. Blink and You’ll Miss It!;PG;injury detail, rude humour, threat;Why is Dr Xand dressed as a bird in the lab? Find out why you blink in today’s experiment.;https://ichef.bbci.co.uk/images/ic/1200x675/p098qs0y.jpg;28 mins;1692;5pm 17 Mar 2021;Why is Dr Xand dressed as a bird in the lab? Find out why you blink in today’s experiment.;Why is Dr Xand dressed as a bird in the lab? Find out why you blink in today’s experiment, and discover why babies walk differently to you in Ouch Baby.;Why is Dr Xand dressed as a bird in the lab? Find out why you blink in today’s experiment, and discover why babies walk differently to you in Ouch Baby. We meet three more lifesaving Ouch! Award nominees, and in the Emergency Department, one patient has been injured mountain biking, while another ran into a lamppost!
CBBC;The Worst Witch - Series 4: 1. The Three Impossibilities;BBC, iPlayer, TV, The Worst Witch, Series 4: 1. The Three Impossibilities;PG;threat;A botched potions experiment leaves Mildred with a whole new look. ;https://ichef.bbci.co.uk/images/ic/1200x675/p081m7pj.jpg;28 mins;1693;27 Jan 2020;A botched potions experiment leaves Mildred with a whole new look.;When a botched potions experiment leaves Mildred with a whole new look, can she complete three impossible challenges and reverse the spell before the sun goes down?;No data found
CBBC;Shaun the Sheep - Series 4: 6. The Smelly Farmer;BBC, iPlayer, TV, Shaun the Sheep, Series 4: 6. The Smelly Farmer;U;no material likely to offend or harm;Shaun, Bitzer and the flock decide to give the farmer a wash.;https://ichef.bbci.co.uk/images/ic/1200x675/p01rrbf9.jpg;7 mins;425;3:50pm 10 Feb 2014;Shaun, Bitzer and the flock decide to give the farmer a wash.;Animated series. The farmer's personal hygiene leaves much to be desired. Shaun, Bitzer and the flock decide action is needed.;The farmer's personal hygiene leaves much to be desired. Shaun, Bitzer and the flock decide action is needed and set about giving the farmer a full service wash.
CBBC;Pokémon: Black and White - Movies: Black - Victini and Reshiram;BBC, iPlayer, TV, Pokémon: Black and White, Movies: Black - Victini and Reshiram;PG;contains mild violence and threat;Can Ash awaken Reshiram to help him rescue Victini?;https://ichef.bbci.co.uk/images/ic/1200x675/p0b64mnf.jpg;92 mins;5497;3 Dec 2021;Can Ash awaken Reshiram to help him rescue Victini?;Can Ash awaken legendary Pokémon Reshiram to help him rescue Victini and save Eindoak Town?;When Ash, Iris and Cilan enter a battle competition in Eindoak Town, they meet and befriend mythical Pokémon Victini. However, disaster strikes when misguided wanderer Damon seizes Victini for his own plans! Can Ash prove himself a hero and earn the help of the legendary Reshiram to rescue Victini and save Eindoak Town?
CBBC;Deadly 60 - Series 2: 1. Baja California, Mexico;BBC, iPlayer, TV, Deadly 60, Series 2: 1. Baja California, Mexico;PG;upsetting scenes;In Mexico, Steve Backshall takes to the water in search of a monster of the deep seas.;https://ichef.bbci.co.uk/images/ic/1200x675/p01grc21.jpg;28 mins;1680;5:15pm 8 Jul 2010;In Mexico, Steve Backshall takes to the water in search of a monster of the deep seas.;Wildlife series. On a trip to Mexico, Steve Backshall takes to the water in search of a monster of the deep seas and searches for snakes in the desert.;Steve travels to the deadliest desert on the planet, the Baja peninsula in Mexico, where he goes searching for a gruesome savage killer in the form of a tarantula hawk wasp. This predator lays an egg in its tarantula prey, which hatches into a maggot, which then eats the spider from the inside - while it's still alive! It is the biggest wasp in the world and has a paralysing sting which makes even Steve nervous - that doesn't stop him handling it though.The desert of Baja, Mexico, is serpent central and Steve has the time of his life catching snakes. These include a cape water snake, and a coachwhip snake that catches Steve unaware and lands a cheeky bite on his hand. He then embarks on a regular rattlesnake round-up, clocking up encounters with the venomous red diamond and Baja rattlesnakes before an encounter with a speckled rattlesnake tops off the best snake-hunting day Steve has ever had in his life.  Steve also takes to water in the Sea of Cortez in search of a monster of the deep seas. Known locally as the Red Devil, legend talks of its ability to snatch fishermen from their boats before tearing them to shreds - it is the Humboldt squid. Snatching fishermen is probably a little far-fetched, but Steve takes no chances and wears chain mail to protect him from the squid's razor-sharp beak and its 16 thousand sucker cup teeth. Incidental finds which don't make it onto Steve's list are a mole lizard which looks like one of the oddest creatures on the planet and a torchlit walk in the local vicinity which reveals he and his crew are literally surround by scorpions.
CBBC;The Next Step - Series 4: 18. Your Time Is Gonna Come;BBC, iPlayer, TV, The Next Step, Series 4: 18. Your Time Is Gonna Come;U;no material likely to offend or harm;As James, Eldon, and West compete in London, Riley and Alfie grow closer.;https://ichef.bbci.co.uk/images/ic/1200x675/p04hwf1g.jpg;22 mins;1302;4:30pm 28 Nov 2016;As James, Eldon, and West compete in London, Riley and Alfie grow closer.;Reality-style drama series. As James, Eldon, and West compete in London, Riley and Alfie grow closer. Noah makes a big decision.;As James, Eldon, and West compete in London, Riley and Alfie grow closer. Noah makes a big decision.
CBBC;Nowhere Boys - Series 1: Episode 9;BBC, iPlayer, TV, Nowhere Boys, Series 1: Episode 9;PG;threat, violence;The boys prepare to return to the Bremin Ranges.;https://ichef.bbci.co.uk/images/ic/1200x675/p025pg1x.jpg;26 mins;1533;5:30pm 29 Sep 2014;The boys prepare to return to the Bremin Ranges.;Drama series. The boys return to the Bremin Ranges, hoping to replicate the conditions of their first excursion in a bid to return home.;Drama series about four boys whose lives are changed forever after a spooky school trip. The boys prepare to return to the Bremin Ranges, hoping to replicate the conditions of their first excursion in a bid to return home. Andy believes that they are looking for a wormhole and as usual, he blindly dismisses Felix's belief that magic may be at play.
CBBC;Odd Squad - Series 2: 36. The Perfect Score;BBC, iPlayer, TV, Odd Squad, Series 2: 36. The Perfect Score;U;no material likely to offend or harm;Its villain report card day at Odd Squad.;https://ichef.bbci.co.uk/images/ic/1200x675/p06b1sw5.jpg;11 mins;684;7:45am 18 Jun 2018;It's villain report card day at Odd Squad.;The Odd Squad investigates strange events. It's villain report card day at Odd Squad.;No data found
CBBC;Tracy Beaker Returns - Series 3: 2. Firestarter;BBC, iPlayer, TV, Tracy Beaker Returns, Series 3: 2. Firestarter;PG;contains mild emotional upset;When a fire breaks out, Tracy and Gus set about discovering who the fire starter is.;https://ichef.bbci.co.uk/images/ic/1200x675/p01h8qnv.jpg;28 mins;1694;5:45pm 11 Jan 2012;When a fire breaks out, Tracy and Gus set about discovering who the fire starter is.;Drama set in a children's home. When a fire breaks out at the Dumping Ground, Tracy and Gus set about discovering who the fire starter is.;There is a fire in the attic. Denis blames Harry, who has built a den up there out of Sapphire's discarded junk. Refusing to see the Burnywood fire and this one as a coincidence, Tracy and Gus break into the sealed attic to get forensic evidence. Just as they find some discarded cigarette butts, Gus falls through the burned floor onto Carmen's bed. Denis blames Tracy for Gus's fall and sacks her. Meanwhile, Lizanne has turned her attentions to Frank, who 'loans' her money.
CBBC;Deadly 60 - Series 1: 1. South Africa;BBC, iPlayer, TV, Deadly 60, Series 1: 1. South Africa;PG;upsetting scenes;Wildlife presenter Steve Backshall encounters an angry hippo and a venomous scorpion.;https://ichef.bbci.co.uk/images/ic/1200x675/p0885lk9.jpg;28 mins;1680;5:15pm 28 May 2009;Wildlife presenter Steve Backshall encounters an angry hippo and a venomous scorpion.;Wildlife series. Steve Backshall tracks down 60 of the world's deadliest animals. In Hoedspruit, South Africa, Steve encounters an angry hippo and a venomous scorpion.;Wildlife presenter Steve Backshall is on a quest to meet 60 of the deadliest animals on the planet. Steve and his team are on a fun-filled, adrenalin-fuelled journey to find those animals most people spend their lifetime avoiding. The action kicks off in Hoedspruit, South Africa. The adventure is nearly over before it's even begun as an angry hippo surprises Steve in a tense encounter on the river. Unscathed and undaunted by the first deadly animal on his list, Steve gets up close and personal with some of South Africa's deadliest snakes and spends the night under the stars in order to find a particularly venomous scorpion.
