category;title;tags;age_rating;rating_description;description;image;duration_txt;duration_sec;first_broadcast;synopsis_small;synopsis_medium;synopsis_large
Films;Amundsen;BBC, iPlayer, TV, Amundsen;12;moderate threat, violence, injury detail;Film drama that tells the life story of Norwegian polar explorer Roald Amundsen.;https://ichef.bbci.co.uk/images/ic/1200x675/p08yzglx.jpg;117 mins;7022;2019;Film drama that tells the life story of Norwegian polar explorer Roald Amundsen.;Film drama that tells the life story of explorer Roald Amundsen, whose obsession with conquering both poles came at a cost - to family and colleagues alike.;Inspired by a gift from his father when he was a child, Roald Amundsen became fascinated by the polar wildernesses. It was an obsession that drove to him explore both poles. He led the first expedition to the South Pole in 1911 as well as the first proven to have reached the North Pole, in a dirigible, in 1926. His achievements, however, came at a cost to both his family and his colleagues. In Norwegian and English with English subtitles.
Films;Small Axe - Series 1: Education;BBC, iPlayer, TV, Small Axe, Series 1: Education;15;strong language, racism, domestic abuse, drug misuse;The story of 12-year-old Kingsley, a victim of an unofficial segregation policy.;https://ichef.bbci.co.uk/images/ic/1200x675/p08zqc8x.jpg;63 mins;3780;9pm 13 Dec 2020;The story of 12-year-old Kingsley, a victim of an unofficial segregation policy.;When 12-year-old Kingsley is transferred to a special-needs school, a group of women uncover an unofficial segregation policy preventing many black children from receiving the education they deserve.;When 12-year-old Kingsley is transferred to a special-needs school, a group of West Indian women uncover an unofficial segregation policy preventing many black children from receiving the education they deserve.
Films;Apostasy;BBC, iPlayer, TV, Apostasy;PG;mild bad language, upsetting scenes;A member of a Jehovahs Witness congregation is challenged when her sister transgresses.;https://ichef.bbci.co.uk/images/ic/1200x675/p08w4fgk.jpg;90 mins;5370;2015;A member of a Jehovah's Witness congregation is challenged when her sister transgresses.;Drama. Alex, a faithful member of the Jehovah's Witness congregation in Oldham, is challenged when her sister transgresses and is barred from the faith.;Just turned 18, Alex, a faithful member of the Jehovah's Witness congregation in Oldham, is challenged when her sister transgresses and is barred from the faith.Part of the British Film Premiere season from BBC Film and the BFI.
Films;The Peanut Butter Falcon;BBC, iPlayer, TV, The Peanut Butter Falcon;12;moderate violence, threat, discrimination, infrequent strong language;A young man with Down syndrome tries to pursue his dream of becoming a wrestler.;https://ichef.bbci.co.uk/images/ic/1200x675/p09r63dv.jpg;89 mins;5336;2019;A young man with Down syndrome tries to pursue his dream of becoming a wrestler.;A young man with Down syndrome runs away from his care home to pursue his dream of becoming a wrestler.;No data found
Films;Bill;BBC, iPlayer, TV, Bill;PG;mild bad language, sex references, violence;Bill Shakespeare (Matthew Baynton) leaves Stratford to follow his dream.;https://ichef.bbci.co.uk/images/ic/1200x675/p07j6wv1.jpg;87 mins;5230;2015;Bill Shakespeare (Matthew Baynton) leaves Stratford to follow his dream.;Family comedy from the performers of Horrible Histories. Young Bill Shakespeare leaves Stratford to follow his latest dream, to be a playwright in London.;1593. While King Philip of Spain plots to kill Queen Elizabeth of England, young Bill Shakespeare leaves Stratford to follow his latest dream, to be a playwright in London - despite the theatres being closed due to plague. Luckily the Queen desires a new play - unluckily she chooses creepy Lord Crawley to write it.
Films;The Titfield Thunderbolt;BBC, iPlayer, TV, The Titfield Thunderbolt;U;contains very mild violence;Ealing comedy about a villages battle to save their railway line. With Stanley Holloway.;https://ichef.bbci.co.uk/images/ic/1200x675/p0bffzgs.jpg;80 mins;4799;1953;Ealing comedy about a village's battle to save their railway line. With Stanley Holloway.;Ealing comedy about a group of villagers who battle to preserve the local railway line by running it themselves, until they are sabotaged in a midnight raid by a rival bus company.;Ealing comedy about a group of villagers and their battle to preserve the local railway line by running it themselves, an enterprise that goes well until they are sabotaged in a midnight raid by the rival bus company. Undaunted, they wheel out the Thunderbolt, an ancient exhibit in the village museum. Now all that remains is to put on a satisfactory run for the stickler of a government inspector.
Films;Lara Croft: Tomb Raider;BBC, iPlayer, TV, Lara Croft: Tomb Raider;15;contains frequent moderate violence;The heroine races against time to find a relic before it falls into the wrong hands.;https://ichef.bbci.co.uk/images/ic/1200x675/p07j8bh3.jpg;94 mins;5614;2001;The heroine races against time to find a relic before it falls into the wrong hands.;Action tale adapted from the popular video game in which the eponymous heroine (Angelina Jolie) races against time to find an ancient relic before it falls into the wrong hands.;Action tale adapted from the popular video game in which the eponymous heroine races against time to find an ancient relic before it falls into the wrong hands. Leaving behind her life of luxury, the highly trained adventurer travels to exotic and dangerous locales, where she battles a variety of fantastical creatures in the knowledge that the fate of mankind rests in her hands.
Films;The Keeper;BBC, iPlayer, TV, The Keeper;15;strong language;At the end of WWII, Bert Trautmann stays in the UK for love and a football career.;https://ichef.bbci.co.uk/images/ic/1200x675/p09tvgks.jpg;109 mins;6554;2018;At the end of WWII, Bert Trautmann stays in the UK for love and a football career.;Recruited from the local prisoner-of-war camp by the manager of non-league St Helens, Bert Trautmann has to overcome the prejudices of his fellow team members.;Recruited from the local prisoner-of-war camp by the manager of non-league St Helens, Bert Trautmann has to overcome the prejudices of his fellow team members who are all appalled at the prospect of playing with the enemy. At the end of the war, Bert is free to return to his home in Bremen, but his growing connection with Margaret, the boss's daughter, leads him to stay and pursue a career in professional football.
Films;20th Century Women;BBC, iPlayer, TV, 20th Century Women;15;strong sex references, strong language, drug misuse;A single mother persuades a friend to give her son some lessons in living life.;https://ichef.bbci.co.uk/images/ic/1200x675/p07lbssp.jpg;109 mins;6556;2016;A single mother persuades a friend to give her son some lessons in living life.;Single mother Dorothea is concerned about the lack of a male role model for her impressionable son and persuades teenage friend Julie to give him some lessons in living life as it should be lived.;In Santa Barbara in 1979, 15-year-old Jamie lives with his single mother Dorothea in a shared house. Dorothea is concerned about the lack of a male role model for her impressionable son and persuades lodger Abbie and Jamie's teenage friend Julie to give him some lessons in living life as it should be lived.
Films;Citizen Kane;BBC, iPlayer, TV, Citizen Kane;U;mild violence;The story of newspaper magnate Charles Foster Kane, told in a series of flashbacks.;https://ichef.bbci.co.uk/images/ic/1200x675/p08cbx9l.jpg;119 mins;7161;1941;The story of newspaper magnate Charles Foster Kane, told in a series of flashbacks.;A landmark in the history of cinema, telling the story of newspaper magnate Charles Foster Kane in a series of flashbacks. Starring Orson Welles.;Frequently voted one of the best films ever made, Orson Welles's masterpiece tells the story of newspaper magnate Charles Foster Kane in a series of flashbacks. A reporter is intrigued by the dying Kane's last word - rosebud - and sets out to find a new angle on the life of one of the most powerful men in America. Nine Oscar nominations resulted in only one award for the outspoken Welles - Best Screenplay.
Films;In the Heat of the Night;BBC, iPlayer, TV, In the Heat of the Night;12;moderate threat, sex references, racist language;A bigoted sheriff of a Mississippi town has to collaborate with a black detective.;https://ichef.bbci.co.uk/images/ic/1200x675/p07jx46c.jpg;106 mins;6331;1967;A bigoted sheriff of a Mississippi town has to collaborate with a black detective.;Thriller about the bigoted sheriff (Rod Steiger) of a small Mississippi town who finds himself forced into collaboration with a black detective (Sidney Poitier) from Philadelphia.;Oscar-winning thriller about the bigoted sheriff in a small Mississippi cotton town who finds himself forced into collaboration with a black homicide expert from Philadelphia.Sparta, Mississippi is a small, quiet town broiling on a steamy September night. At the train station Virgil Tibbs, a solitary black man from out of town, is arrested for the murder of a rich northern industrialist. Police chief Gillespie has no experience of a murder inquiry and subjects Tibbs to a bigoted, insolent interrogation. But when Tibbs reveals himself to be a top city homicide cop, his is just the assistance Gillespie can do without.
Films;My Feral Heart;BBC, iPlayer, TV, My Feral Heart;12;infrequent strong language, moderate sex references;A young man with Down’s syndrome is forced into a care home after the death of his mother.;https://ichef.bbci.co.uk/images/ic/1200x675/p099dmwd.jpg;75 mins;4500;2016;A young man with Down’s syndrome is forced into a care home after the death of his mother.;Film drama. Luke, a young man with Down’s syndrome who prizes his independence, is forced into a care home after his mother dies. There he makes friends with a mysterious girl.;Luke, a young man with Down’s syndrome who prizes his independence, is forced into a care home after the death of his mother. There he rails against the restrictions imposed on him, but his frustrations are allayed by his budding friendships with his care worker Eve and a mysterious feral girl.
Films;A Lonely Place to Die;BBC, iPlayer, TV, A Lonely Place to Die;15;contains strong language, bloody violence;A group of mountaineers discover a Serbian girl held captive in the Scottish Highlands.;https://ichef.bbci.co.uk/images/ic/1200x675/p094bkdv.jpg;95 mins;5708;10pm 23 Jan 2021;A group of mountaineers discover a Serbian girl held captive in the Scottish Highlands.;A group of five mountaineers are hiking and climbing in the Scottish Highlands when they discover a young Serbian girl buried in a small chamber in the wilderness.;A group of five mountaineers are hiking and climbing in the Scottish Highlands when they discover a young Serbian girl buried in a small chamber in the wilderness.They become caught up in a terrifying game of cat and mouse with the kidnappers as they try to get the girl to safety.
Films;The Man in the White Suit;BBC, iPlayer, TV, The Man in the White Suit;U;;Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre.;https://ichef.bbci.co.uk/images/ic/1200x675/p09pcs1c.jpg;82 mins;4912;1951;Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre.;Biting Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre but finds that everyone wants to destroy his formula.;Biting Ealing satire about an eccentric research scientist working in a menial job in a textile factory, who invents a fabric that never gets dirty and never wears out. When the tycoons of the clothes industry discover his secret, they ruthlessly set out to destroy the formula, and the scientist is forced to go on the run, wearing a suit made from the miracle yarn, with just about everyone in pursuit.
Films;Blind Ambition;BBC, iPlayer, TV, Blind Ambition;12;infrequent strong language, brief real violence;Myopic TV director Jamie O’Leary and blind comedian Jamie MacDonald meet blind artists.;https://ichef.bbci.co.uk/images/ic/1200x675/p09qk3vf.jpg;59 mins;3549;10pm 1 Aug 2021;Myopic TV director Jamie O’Leary and blind comedian Jamie MacDonald meet blind artists.;TV director Jamie O’Leary faces eye surgery that could lead to sight loss. He goes on a journey with blind comedian Jamie MacDonald to see how blind artists achieve their vision.;Jamie O’Leary has terrible sight, and is now facing eye surgery that could potentially lead to sight loss. A television director for almost 20 years, Jamie has produced groundbreaking programmes that take a fresh look at disability, as well as making popular travelogue shows with some of the UK’s funniest talent, including Karl Pilkington, Romesh Ranganathan and Katherine Ryan.At this pivotal point in his life, O’Leary wants to explore how people cope with sight loss and how blind artists achieve their creative vision of a world they see from a unique perspective. So he has hooked up with blind observational comedian Jamie MacDonald to bring light and shade to facing the condition. Together, they’re on a blind-leading-the-nearly-blind mission to uncover and collaborate with the best blind creative talent.
Films;Rush;BBC, iPlayer, TV, Rush;15;strong language, sex, bloody injury detail;The story of the rivalry between 1970s F1 champions Niki Lauda and James Hunt.;https://ichef.bbci.co.uk/images/ic/1200x675/p08k2f7f.jpg;110 mins;6600;2013;The story of the rivalry between 1970s F1 champions Niki Lauda and James Hunt.;The story of the rivalry between legendary F1 racing champions Niki Lauda and James Hunt, two charismatic drivers with entirely different approaches and personalities.;No data found
Films;Anne of Green Gables;BBC, iPlayer, TV, Anne of Green Gables;PG;mild threat, upsetting scenes;The story of a young orphan girl who is adopted by a pair of farmers.;https://ichef.bbci.co.uk/images/ic/1200x675/p08xzbfy.jpg;74 mins;4466;1934;The story of a young orphan girl who is adopted by a pair of farmers.;Adaptation of LM Montgomery's classic about a middle-aged brother and sister who apply to adopt a boy to help on their farm but are sent a girl instead.;Adaptation of LM Montgomery's Canadian classic following the adventures of determined, imaginative optimist Anne Shirley. Middle-aged brother and sister Matthew and Marilla Cuthbert want some help on the farm so they decide to adopt a boy. However, the orphanage sends them a girl by mistake.
Films;Blue Story;BBC, iPlayer, TV, Blue Story;15;very strong language, strong violence, threat, sex, drug misuse;A feature adaptation of Rapmans YouTube series about two young friends in south London.;https://ichef.bbci.co.uk/images/ic/1200x675/p0blhwcf.jpg;86 mins;5160;2018;A feature adaptation of Rapman's YouTube series about two young friends in south London.;A feature adaptation of Rapman's YouTube series about two young south London friends from different boroughs and their deepening relationships with gangs and girls.;No data found
Films;Red Joan;BBC, iPlayer, TV, Red Joan;12;moderate sex, suicide references;Octogenarian Joan Stanley is arrested and accused of having worked as a Soviet spy.;https://ichef.bbci.co.uk/images/ic/1200x675/p09c8bxp.jpg;93 mins;5580;2019;Octogenarian Joan Stanley is arrested and accused of having worked as a Soviet spy.;Following the story of Joan Stanley, a Cambridge science graduate who stole British nuclear secrets and passed them to the Soviet Union after WWII.;Following the story of Joan Stanley, a Cambridge science graduate who stole British nuclear secrets and passed them to the Soviet Union after WWII. Joan's espionage activities remained unknown for decades, until her cover was blown and MI5 finally caught up with her in her 80s.
