category,title,tags,age_rating,rating_description,description,representation,image,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large
Entertainment,Top Gear - Series 4: Episode 8,"BBC, iPlayer, TV, Top Gear, Series 4: Episode 8",15,contains mild violence and language,"The trio test a Ford GT40, Maserati Quattroporte and Toyota Prius. With Martin Clunes.",1,https://ichef.bbci.co.uk/images/ic/1200x675/p09t2d3c.jpg,59 mins,3534,8pm 18 Jul 2004,"The trio test a Ford GT40, Maserati Quattroporte and Toyota Prius. With Martin Clunes.","The trio look at the new Ford GT40, Maserati Quattroporte and Toyota Prius, and have a diesel versus petrol hot hatch race. Martin Clunes is this week�s guest star.","The trio look at the new Ford GT40, Maserati Quattroporte and Toyota Prius, and have a diesel versus petrol hot hatch race. Martin Clunes is this week�s guest star."
Entertainment,Top Gear - Series 25: Episode 4,"BBC, iPlayer, TV, Top Gear, Series 25: Episode 4",15,contains mild violence and language,"Matt LeBlanc tests the worlds fastest accelerating car, with a little help from NASA.",1,https://ichef.bbci.co.uk/images/ic/1200x675/p0613fxk.jpg,61 mins,3631,8pm 18 Mar 2018,"Matt LeBlanc tests the world's fastest accelerating car, with a little help from NASA.","Matt LeBlanc tests the world's fastest accelerating car, with a little help from NASA. Chris Harris pens a heartfelt love letter to the Citroen 2CV.","Matt LeBlanc tests the world's fastest accelerating car, with a little help from NASA. Chris Harris pens a heartfelt love letter to the Citroen 2CV, while Rory Reid samples some exciting cars from South Korea. Dara O Briain and Ed Byrne are the studio guests."
Entertainment,Would I Lie to You? - Series 15: Episode 1,"BBC, iPlayer, TV, Would I Lie to You?, Series 15: Episode 1",12,"contains mild language, sex references and innuendo","With guests John Cooper Clarke, Judi Love, Chris McCausland and Caroline Quentin.",3,https://ichef.bbci.co.uk/images/ic/1200x675/p0bcrthn.jpg,29 mins,1736,8:30pm 7 Jan 2022,"With guests John Cooper Clarke, Judi Love, Chris McCausland and Caroline Quentin.","Sorting the fact from fiction this week are guests John Cooper Clarke, Judi Love, Chris McCausland and Caroline Quentin.","Rob Brydon is back in the host�s chair for the award-winning comedy panel show, with Lee Mack and David Mitchell returning as team captains. Sorting the fact from fiction this week are guests John Cooper Clarke, Judi Love, Chris McCausland and Caroline Quentin."
Entertainment,Michael McIntyre's The Wheel - Series 2: Episode 7,"BBC, iPlayer, TV, Michael McIntyres The Wheel, Series 2: Episode 7",15,contains strong language,"Mel B, Josh Widdicombe and Osi Umenyiora try to help the contestants win a fortune.",3,https://ichef.bbci.co.uk/images/ic/1200x675/p0b6jnsz.jpg,59 mins,3565,7:40pm 4 Dec 2021,"Mel B, Josh Widdicombe and Osi Umenyiora try to help the contestants win a fortune.","Michael McIntyre hosts as Mel B, Josh Widdicombe, Osi Umenyiora, Kerry Godliman, Jordan North, Rosemary Shrager and Dr Hilary Jones try to help the contestants win a life-changing cash prize.","Bafta award-winning Michael McIntyre is back with his hit Saturday night game show packed with huge stars, big laughs, and a colossal spinning wheel! Three contestants hope to answer their way to a fortune, guided by seven celebrities, but can they help them to win life-changing cash? That all depends on the spin of The Wheel. Celebrities on The Wheel tonight: Mel B, Josh Widdicombe, Osi Umenyiora, Kerry Godliman, Jordan North, Rosemary Shrager and Dr Hilary Jones."
Entertainment,MasterChef - Series 13: Episode 25,"BBC, iPlayer, TV, MasterChef, Series 13: Episode 25",PG,language,One of the three amateur cooks lifts the trophy and becomes the 13th MasterChef champion.,3,https://ichef.bbci.co.uk/images/ic/1200x675/p09ybmzt.jpg,58 mins,3490,12 May 2017,One of the three amateur cooks lifts the trophy and becomes the 13th MasterChef champion.,"After a formidable seven-week competition, one of the three amateur cooks lifts the trophy and becomes the 13th MasterChef champion.","After a formidable seven-week competition, the search for the country's best amateur cook reaches its climax. The finalists have to push themselves to the limit for one last time before judges John Torode and Gregg Wallace crown one of the three highly-talented amateur cooks the champion.In three hours, they must produce three exceptional courses, push the culinary boundaries and give the judges an awe-inspiring tasting like never before. It is a night packed with culinary highlights as one of the three amateur cooks lifts the trophy and becomes the 13th MasterChef champion."
Entertainment,Celebrity MasterChef - Series 15: Episode 3,"BBC, iPlayer, TV, Celebrity MasterChef, Series 15: Episode 3",PG,language,The remaining four celebrities compete for the first two semi-final places.,3,https://ichef.bbci.co.uk/images/ic/1200x675/p08jp7lq.jpg,29 mins,1735,8:30pm 3 Jul 2020,The remaining four celebrities compete for the first two semi-final places.,"The competition for the first two semi-final places reaches its climax as the celebrities cook for three of the previous year's contestants, including champion Greg Rutherford.","The battle for the first two semi-final places in this year�s competition reaches its climax, as the four remaining celebrities must cook a faultless two-course meal that will not only be judged by John and Gregg, but also by three Celebrity MasterChef legends: last year�s champion, Olympic long jumper Greg Rutherford, and TV personalities Vicky Pattison and Dom Parker.  Only the best two cooks can come one step closer to winning the title of Celebrity MasterChef 2020. For those who don�t cut the mustard, the journey ends here."
Entertainment,Top Gear - Best of Series 27 and 28: Episode 5,"BBC, iPlayer, TV, Top Gear, Best of Series 27 and 28: Episode 5",15,contains mild violence and language,"Freddie, Chris and Paddy build their own electric sports cars.",1,https://ichef.bbci.co.uk/images/ic/1200x675/p08qb66d.jpg,59 mins,3527,6pm 6 Sep 2020,"Freddie, Chris and Paddy build their own electric sports cars.","More of the best bits from the last two series. Freddie, Chris and Paddy build their own electric sports cars for the inaugural 24 Minutes of Le Mansfield race.","More of the best bits from the last two series. Freddie, Chris and Paddy build their own electric sports cars for the inaugural 24 Minutes of Le Mansfield race. Chris tests the all-electric Porsche Taycan, and there is a tribute to the legendary Colin McRae."
Entertainment,Strictly - It Takes Two - Series 19: Episode 53,"BBC, iPlayer, TV, Strictly - It Takes Two, Series 19: Episode 53",U,no material likely to offend or harm,Janette Manrara chats to one of the remaining couples.,3,https://ichef.bbci.co.uk/images/ic/1200x675/p0b8ywgb.jpg,29 mins,1744,6:30pm 8 Dec 2021,Janette Manrara chats to one of the remaining couples.,Janette Manrara chats to one of the remaining couples to find out all the latest backstage news and gossip.,No data found
Entertainment,Canada's Drag Race - Canada's Drag Race Anniversary Extravaganza,"BBC, iPlayer, TV, Canadas Drag Race, Canadas Drag Race Anniversary Extravaganza",15,"language, sex references",The fabulous season 1 queens are reunited in Canada�s Drag Race Anniversary Extravaganza.,3,https://ichef.bbci.co.uk/images/ic/1200x675/p0b62n2q.jpg,89 mins,5350,10 Dec 2021,The fabulous season 1 queens are reunited in Canada�s Drag Race Anniversary Extravaganza.,"In this hour long special hosted by Priyanka, we look back at the series a year after its premier, as she explores the drama, the sickening looksand the gag-worthy moments.","In Canada's Drag Race Anniversary Extravaganza, Priyanka, the reigning queen herself, hosts an exciting hour to celebrate a year since itspremier with her sisters. All twelve contestants look back at the first series exposing their thoughts on gag-worthy moments, weekly challenges,runway looks, snarly werkroom fights and memorable eliminations. Who brought the greatest looks? Who put on the best lip-syncingperformance? Who's the biggest diva? All will be revealed!"
Entertainment,Top Gear - Series 23: Episode 6,"BBC, iPlayer, TV, Top Gear, Series 23: Episode 6",15,contains mild violence and language,Matt LeBlanc gets his hands on the new Porsche 911 R.,1,https://ichef.bbci.co.uk/images/ic/1200x675/p0400b7l.jpg,61 mins,3677,8pm 3 Jul 2016,Matt LeBlanc gets his hands on the new Porsche 911 R.,"Matt LeBlanc gets his hands on the Porsche 911 R, Chris Harris puts Honda's reimagined NSX through its paces and Chris Evans finds old-fashioned charm in the new MGB Roadster.","In this episode, Matt LeBlanc gets his hands on the new Porsche 911 R whilst Chris Harris puts Honda's reimagined NSX through its paces. Chris Evans discovers old-fashioned charm in the somehow new MGB Roadster, as Rory Reid heads to Scotland with the first ever right-hand-drive Ford Mustang. Grey's Anatomy star Patrick Dempsey and Man Down funny man Greg Davies are tonight's Stars in a Rallycross Car, plus a treat for the whole team, including Sabine Schmitz and Eddie Jordan."
