category,title,tags,age_rating,rating_description,description,representation,image,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large
Signed,Tree Fu Tom - Series 5: 18. Ranger Tom and Ginormous George - Signed,"BBC, iPlayer, TV, Tree Fu Tom, Series 5: 18. Ranger Tom and Ginormous George",U,clean,Rangers to the rescue - theres a huge fungus-chomping creature on the loose!,3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p07r2qp0.jpg,22 mins,1308,5pm 19 Sep 2016,Rangers to the rescue - there's a huge fungus-chomping creature on the loose!,Animated fantasy adventure show. Rangers to the rescue - there's a huge fungus-chomping creature on the loose!,"Twigs is desperate to earn his tent-builder badge, helped by Racquette and Tom. However, their tent-building is interrupted when they have to rescue the Mushas, who sound like they are in trouble. The Mushas realise they can have some mischief by inventing a giant fungus-gobbling creature called Ginormous George and getting the Rangers to rescue them some more. Things get out of control when Stink is transformed into Ginormous George and goes on the rampage. Will Twigs ever earn that badge?"
Signed,MasterChef: The Professionals - Series 14: Episode 13 - Signed,"BBC, iPlayer, TV, MasterChef: The Professionals, Series 14: Episode 13",PG,language,Heat sevens Skills Test involves a prawn omelette and chicken kofte with cucumber salad.,3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p0b6jm7d.jpg,29 mins,1725,7:30pm 29 Nov 2021,Heat seven's Skills Test involves a prawn omelette and chicken kofte with cucumber salad.,"Heat seven's Skills Test sees the four contenders preparing a prawn, avocado and pepper omelette and chicken kofte with flatbread and cucumber salad.","Four professional chefs arrive for heat seven, aiming to make their mark in the MasterChef kitchen and to stake their claim to the coveted title. First, they face the infamous Skills Test. Two of the four face Marcus Wareing's test: they have 20 minutes to prepare a prawn, avocado and pepper omelette served with prawn oil. The other two are challenged by Monica Galetti to make chicken kofte served with flatbread and cucumber salad."
Signed,Strictly Come Dancing - Series 19: Week 3 Results - Signed,"BBC, iPlayer, TV, Strictly Come Dancing, Series 19: Week 3 Results",U,infrequent mild bad language,Two couples face each other in the Movie Week dance-off. ,3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p09y97c1.jpg,50 mins,3000,7:10pm 10 Oct 2021,Two couples face each other in the Movie Week dance-off.,"Two couples face each other in the Movie Week dance-off, and there's a special performance by star of stage and screen Ben Platt.","Movie Week continues with a routine by the Strictly professionals inspired by 2021 film In the Heights. There is also a very special music performance from star of stage and screen Ben Platt, singing You Will Be Found from the movie Dear Evan Hansen. Two couples face each other in our Movie Week dance-off. Who will the judges save, and who will leave the competition this weekend?"
Signed,Odd Squad - Series 2: 16. The Creature Whisperer,"BBC, iPlayer, TV, Odd Squad, Series 2: 16. The Creature Whisperer",U,"threat, violence",The agents struggle to catch an odd creature.,3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p05wwtv5.jpg,11 mins,684,8am 5 Feb 2018,The agents struggle to catch an odd creature.,The Odd Squad investigates strange events. The agents struggle to catch an odd creature.,No data found
Signed,Waffle the Wonder Dog - Series 2: 1. Waffle's Ball Pit Pond - Signed,"BBC, iPlayer, TV, Waffle the Wonder Dog, Series 2: 1. Waffles Ball Pit Pond",U,no material likely to offen,Ali and Anaya come for a playdate and Mrs Hobbs tries to teach Waffle good behaviour.,3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p06cdj94.jpg,11 mins,660,5:20pm 2 Jul 2018,Ali and Anaya come for a playdate and Mrs Hobbs tries to teach Waffle good behaviour.,"Preschool comedy drama series. Ali and Anaya come to play, but Waffle isn't joining in. He's next door with Mrs Hobbs, who is teaching him to be a good dog.","It's the hottest day of the year and Waffle is eating ice cream to cool down. Outside in the sweltering heat, Simon turns on the sprinkler to help everyone cool down, but poor Waffle doesn't like the sprinkler and darts through the hole in the fence to Mrs Hobbs's garden, looking for shade. The Brooklyn-Bells try to coax him back, but he refuses to return. Doug decides to make a mini swimming pool by filling the ball pit with cool water. Waffle loves swimming pools. Maybe that will encourage him back?"
Signed,MasterChef: The Professionals - Series 10: Episode 1,"BBC, iPlayer, TV, MasterChef: The Professionals, Series 10: Episode 1",PG,language,"Six chefs face two daunting challenges - at the end of which, three are sent home.",3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p0b2g8m9.jpg,58 mins,3490,8pm 7 Nov 2017,"Six chefs face two daunting challenges - at the end of which, three are sent home.","Marcus Wareing, Monica Galetti and Gregg Wallace team up to search for the country's 2017 culinary superstar. The six chefs must cook a duck dish from scratch in just 20 minutes.","The Bafta-winning hit is back for its tenth series. Celebrated MasterChef presenter Gregg Wallace, chef Monica Galetti and two-Michelin-starred Marcus Wareing are together once again in their search for the UK's finest cooking talent. Over seven weeks, 48 professionals will face the rigours of the MasterChef kitchen before one chef is crowned culinary superstar of 2017.In this opening heat, six professional chefs from all over the country arrive at the MasterChef kitchen and put their reputations on the line, to stake their claim to the coveted title. The chefs face two daunting challenges - at the end of which, three chefs are sent home and the strongest three go through to this week's quarter-final.Each chef begins with the infamous Skills Test. Under the watchful eye of all three judges, the first moments for any competitor are nerve-wracking, as their knowledge, palate and experience are put under scrutiny. Nothing goes unnoticed as they chop, slice and sear their way through their first assessment.This year the judges have raised the bar even higher - setting the chefs the task of creating and cooking a dish from scratch in just 20 minutes. The first test has been designed by Marcus, who demonstrates how he would make a superb duck dish from a whole duck and a table of ingredients in 20 minutes flat. As well as creating the dish, the chefs have their butchery and sauce-making skills put to the test as all three judges watch over them. Can these chefs hold their nerve and deliver a perfectly prepared duck dish of their own creation alongside a great quality sauce, or will they buckle under the pressure?Next, the six chefs have a chance to redeem any earlier mistakes when they cook their own Signature Dish for Monica, Marcus and Gregg. In an hour and 15 minutes, they must showcase their creativity, palate and personal style. It is also their final chance to show off their culinary talent before the judges decide which three are sent home, and which three go through to this week's quarter-final."
Signed,Deadly 60 - Series 3: 12. Nepal,"BBC, iPlayer, TV, Deadly 60, Series 3: 12. Nepal",PG,upsetting scenes,Steve enlists the help of an elephant to track down a very grumpy rhinoceros.,1.0,https://ichef.bbci.co.uk/images/ic/1200x675/p086snmc.jpg,28 mins,1685,7:45am 5 Jun 2012,Steve enlists the help of an elephant to track down a very grumpy rhinoceros.,"Wildlife series. Steve and the crew head to the mountain kingdom of Nepal to search for more animal predators, including a very grumpy rhinoceros and a Bengal tiger.","Steve and the crew head to the mountain kingdom of Nepal to search for more animal predators. Steve enlists the help of an elephant to track down a very grumpy rhinoceros and stalks the forests in search of the largest cat on earth, the highly elusive and endangered Bengal tiger. He also has a chance encounter with a hive of honeybees in the centre of a busy Nepalese town before taking to the skies to paraglide with an Egyptian vulture above the foothills of the Himalayas."
Signed,Louis Theroux - Behind Bars,"BBC, iPlayer, TV, Louis Theroux, Behind Bars",15,"strong language, discriminatory",Louis travels to California to spend two weeks in the notorious San Quentin State Prison.,1.0,https://ichef.bbci.co.uk/images/ic/1200x675/p06k8t74.jpg,59 mins,3540,9:10pm 13 Jan 2008,Louis travels to California to spend two weeks in the notorious San Quentin State Prison.,"Louis travels to California to spend two weeks in the notorious San Quentin State Prison. Built in 1852, San Quentin is dangerously overcrowded.","Another chance to see the BAFTA award winning presenter travelling to northern California to visit America's notorious San Quentin State Prison.Built in 1852, San Quentin is one of America's oldest prisons and suffers from chronic overcrowding. Although famous for its death row the prison's main task is to house a transient population of 3,000 murderers, sexual predators and small-time criminals.Louis spends two weeks with these inmates and quickly discovers that they inhabit a strange world within a world with its own rules and its own brutal code of conduct. He meets amongst others David Silva who is serving 521 years and 11 life sentences and is locked down for 23 hours a day. Silva's crimes as he describes them 'would never be forgotten' and he talks of how he faces up to the prospect of never leaving prison. Louis meets Deborah and Rob a transgender couple who live like husband and wife and how Deborah feels that after 20 years of continual offending, San Quentin now feels like home."
Signed,School of Roars - Series 1: 23. Monster Choir,"BBC, iPlayer, TV, School of Roars, Series 1: 23. Monster Choir",U,clean,"When he joins the school choir, Yummble discovers hes too tuneful to sing monster songs.",,https://ichef.bbci.co.uk/images/ic/1200x675/p052jflk.jpg,7 mins,420,4:15pm 17 May 2017,"When he joins the school choir, Yummble discovers he's too tuneful to sing monster songs.",Preschool animation. Yummble is very excited about performing with the school choir until he discovers he's too tuneful to sing monster songs.,Yummble is very excited about performing with the school choir until he discovers he's too tuneful to sing monster songs. Can Wufflebump help Yummble find a new rhythm in time for his debut at the school concert?
Signed,"Go Jetters - Series 3: 8. Middle of the World City, Ecuador","BBC, iPlayer, TV, Go Jetters, Series 3: 8. Middle of the World City, Ecuador",U,clean,Someone pretends to be the Go Jetters and glitches a monument in Ecuador. Who could it be?,3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p07pvwc6.jpg,11 mins,660,2 Sep 2019,Someone pretends to be the Go Jetters and glitches a monument in Ecuador. Who could it be?,Glitch is out to prove he’s just as good as the Go Jetters when he heads to Ecuador and moves the Monument to the Equator.,"After hearing about how the Monument to the Equator in Ciudad Mitad del Mundo is in the wrong location, Glitch and his Glitchbots pretend to be the Go Jetters and move the monument onto the equator. But when things start to go wrong, Glitch must learn that some glitches are fine the way they are."
