category;title;tags;age_rating;rating_description;description;image;duration_txt;duration_sec;first_broadcast;synopsis_small;synopsis_medium;synopsis_large
From the Archives;Waterloo Road - Series 9: Episode 20;BBC, iPlayer, TV, Waterloo Road, Series 9: Episode 20;12;moderate language, violence, references to sex, suicide;Kaceys boxing career is jeopardised when a challenge by Gabriella goes horribly wrong.;https://ichef.bbci.co.uk/images/ic/1200x675/p01thb59.jpg;57 mins;3413;8pm 12 Mar 2014;Kacey's boxing career is jeopardised when a challenge by Gabriella goes horribly wrong.;School-based drama. Kacey's boxing career is jeopardised when a challenge by Gabriella goes horribly wrong. Simon turns to Christine when he finds himself unable to cope.;Kacey's boxing career is jeopardised when a challenge by Gabriella goes horribly wrong.Simon turns to Christine when he finds himself unable to cope with the challenges of Acting Head.
From the Archives;Absolutely Fabulous - Series 4: 6. Menopause;BBC, iPlayer, TV, Absolutely Fabulous, Series 4: 6. Menopause;12;language;Edinas company is losing clients and Patsy seems to be going through the menopause.;https://ichef.bbci.co.uk/images/ic/1200x675/p07p8dh2.jpg;30 mins;1778;9pm 5 Oct 2001;Edina's company is losing clients and Patsy seems to be going through the menopause.;Edina's company is losing clients to her rival, Claudia Bing, and Patsy seems to be going through the menopause.;No data found
From the Archives;Doctor Who - Series 11: 8. The Witchfinders;BBC, iPlayer, TV, Doctor Who, Series 11: 8. The Witchfinders;12;mild threat;The Doctor and friends encounter a witch trial and King James I in the 17th century.;https://ichef.bbci.co.uk/images/ic/1200x675/p06sby6v.jpg;47 mins;2791;6:30pm 25 Nov 2018;The Doctor and friends encounter a witch trial and King James I in the 17th century.;In 17th-century Lancashire, the Doctor, Yaz, Ryan and Graham become embroiled in a witch trial and the arrival of King James I.;The Doctor, Ryan, Graham and Yaz arrive in 17th-century Lancashire and become embroiled in a witch trial, run by the local landowner. As fear stalks the land, the arrival of King James I only serves to intensify the witch hunt. But is there something even more dangerous at work? Can the Doctor and friends keep the people of Bilehurst Cragg safe from all the forces that are massing in the land?
From the Archives;Waterloo Road - Series 3: Episode 11;BBC, iPlayer, TV, Waterloo Road, Series 3: Episode 11;12;moderate language, violence, references to sex, suicide;In an attempt to stop Bolton from leaving school, Rachel takes the kids on a prison trip.;https://ichef.bbci.co.uk/images/ic/1200x675/p07lygz2.jpg;60 mins;3600;8pm 10 Jan 2008;In an attempt to stop Bolton from leaving school, Rachel takes the kids on a prison trip.;Drama series set in a secondary school. In a last-ditch attempt to stop Bolton from leaving school, Rachel takes the kids on a prison trip.;Drama series set in a secondary school. In a last-ditch attempt to stop Bolton from leaving school, Rachel takes the kids on a prison trip. The teachers experience exam pressure for themselves. Tom hides his relationship with Davina from Chlo and Mika.
From the Archives;The Killing - Series 3: Episode 2;BBC, iPlayer, TV, The Killing, Series 3: Episode 2;15;strong violence;The police try to track down the kidnapper of Robert Zeuthens daughter Emilie.;https://ichef.bbci.co.uk/images/ic/1200x675/p09ds9w1.jpg;59 mins;3540;17 Nov 2012;The police try to track down the kidnapper of Robert Zeuthen's daughter Emilie.;Danish crime drama series.  Following the kidnapping of Robert Zeuthen's daughter Emilie, Copenhagen Police put every effort into tracking down the perpetrator and finding her.;Following the kidnapping of Robert Zeuthen's daughter Emilie, Copenhagen Police put every effort into tracking down the perpetrator and finding the little girl. Meanwhile, the kidnapping has quickly become a hot potato in the election campaign and Prime Minister Kamper must deal with the fallout.In Danish with English subtitles.
From the Archives;My Family - Series 2: 9. Get Cartier;BBC, iPlayer, TV, My Family, Series 2: 9. Get Cartier;12;mild sex references, innuendo;Ben suspects that one of his patients is a mobster after he gives him an expensive watch.;https://ichef.bbci.co.uk/images/ic/1200x675/p0872jrj.jpg;28 mins;1687;8:30pm 26 Oct 2001;Ben suspects that one of his patients is a mobster after he gives him an expensive watch.;Ben suspects that one of his patients is a mobster after he gives him an expensive watch.;No data found
From the Archives;Life on Mars - Series 2: Episode 6;BBC, iPlayer, TV, Life on Mars, Series 2: Episode 6;12;moderate sex references;As heroin hits the streets of Manchester, CID want culprits for the smuggling and dealing.;https://ichef.bbci.co.uk/images/ic/1200x675/p07lgdt6.jpg;57 mins;3448;9pm 27 Mar 2007;As heroin hits the streets of Manchester, CID want culprits for the smuggling and dealing.;Drama series about a detective who wakes up in what seems to be 1973. As heroin hits the streets of Manchester, CID want culprits for the smuggling, dealing and ensuing violence.;Drama series about Sam Tyler, a detective who suffers a near-fatal car crash and wakes up in what seems to be 1973.As heroin hits the streets of Manchester for the first time, CID and DCI Hunt want culprits for the smuggling, the dealing and ensuing violence. As Sam tries to get to the source of the influx of this deadly drug, he finds himself intractably drawn to a beautiful young woman who was witness to a heroin-related shooting.
From the Archives;Bad Education - Series 2: 3. Funeral;BBC, iPlayer, TV, Bad Education, Series 2: 3. Funeral;15;strong sex references;Abbey Grove is rocked by the news that deputy headmistress Miss Pickwell is dead.;https://ichef.bbci.co.uk/images/ic/1200x675/p01k10wb.jpg;29 mins;1716;10pm 17 Sep 2013;Abbey Grove is rocked by the news that deputy headmistress Miss Pickwell is dead.;School-based sitcom. Alfie is wracked with guilt when Miss Pickwell's suicide note lays the finger of blame on him after one of his class's pranks pushes her over the edge.;Abbey Grove is rocked by the news that deputy headmistress Miss Pickwell is dead, and Alfie is left particularly on edge when her suicide note clearly lays the finger of blame on him after one of his class's pranks pushes her over the edge. Haunted by guilt, will Alfie be able to put her unquiet spirit at rest with the perfect memorial service? With Pickwell gone, headmaster Mr Fraser decides to advertise for her position with less-than-successful results, which may mean Miss Gulliver is offered the role full-time. But will the power change her?
From the Archives;My Family - Series 6: 4. Living the Dream;BBC, iPlayer, TV, My Family, Series 6: 4. Living the Dream;12;mild sex references, innuendo;When is pyramid selling not pyramid selling? When Ben says so, apparently.;https://ichef.bbci.co.uk/images/ic/1200x675/p087szl1.jpg;29 mins;1737;8:30pm 7 Apr 2006;When is pyramid selling not pyramid selling? When Ben says so, apparently.;Domestic sitcom. When is pyramid selling not pyramid selling? When Ben says so, apparently.;No data found
From the Archives;Gossip Girl (2007-12) - Series 5: 17. The Princess Dowry;BBC, iPlayer, TV, Gossip Girl (2007-12), Series 5: 17. The Princess Dowry;15;infrequent moderate language, infrequent mild violence;Willian van de Woodsen returns to town.;https://ichef.bbci.co.uk/images/ic/1200x675/p09s4p6w.jpg;40 mins;2400;2011;Willian van de Woodsen returns to town.;Blair thinks a potential loophole may have been found in her pre-nuptial agreement. Meanwhile, a family crisis brings William van der Woodsen back to the Upper East Side.;No data found
