category,title,tags,age_rating,image,synopsis_small,cas1517
CBBC,The Next Step - Series 4: 18. Your Time Is Gonna Come,"BBC, iPlayer, TV, The Next Step, Series 4: 18. Your Time Is Gonna Come",U,https://ichef.bbci.co.uk/images/ic/1200x675/p04hwf1g.jpg,"As James, Eldon, and West compete in London, Riley and Alfie grow closer.",0.84231
CBBC,Shaun the Sheep - Series 4: 6. The Smelly Farmer,"BBC, iPlayer, TV, Shaun the Sheep, Series 4: 6. The Smelly Farmer",U,https://ichef.bbci.co.uk/images/ic/1200x675/p01rrbf9.jpg,"Shaun, Bitzer and the flock decide to give the farmer a wash.",0.8422050000000001
CBBC,Odd Squad - Series 2: 36. The Perfect Score,"BBC, iPlayer, TV, Odd Squad, Series 2: 36. The Perfect Score",U,https://ichef.bbci.co.uk/images/ic/1200x675/p06b1sw5.jpg,It's villain report card day at Odd Squad.,0.84177
CBBC,Malory Towers - Series 2: 13. The Lost Treasure,"BBC, iPlayer, TV, Malory Towers, Series 2: 13. The Lost Treasure",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0b4k3ry.jpg,"Darrell and Sally make a dramatic discovery, but is it enough to save Malory Towers?",0.840795
CBBC,Shaun the Sheep - Series 5: 20. Sheep Farmer,"BBC, iPlayer, TV, Shaun the Sheep, Series 5: 20. Sheep Farmer",U,https://ichef.bbci.co.uk/images/ic/1200x675/p0723hjb.jpg,Timmy sees a particularly grumpy farmer giving one of the flock a hard time.,0.84033
CBBC,Boy Girl Dog Cat Mouse Cheese - Series 1: 36. Family Photo,"BBC, iPlayer, TV, Boy Girl Dog Cat Mouse Cheese, Series 1: 36. Family Photo",U,https://ichef.bbci.co.uk/images/ic/1200x675/p08h49b6.jpg,The kids accidentally destroy a beloved family photo.,0.8383050000000001
CBBC,Wizards vs Aliens - Series 2: 8. The Curse of Crowe Part Two,"BBC, iPlayer, TV, Wizards vs Aliens, Series 2: 8. The Curse of Crowe Part Two",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p01lty4k.jpg,Tom and Benny suffer from Gemma Raven's curse.,0.77138
CBBC,Wizards vs Aliens - Series 1: 6. Rebel Magic - Part Two,"BBC, iPlayer, TV, Wizards vs Aliens, Series 1: 6. Rebel Magic - Part Two",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p01hzm5g.jpg,Tom and Jackson take the fight to the Nekross.,0.7703
Comedy,Fleabag - Series 1: Episode 1,"BBC, iPlayer, TV, Fleabag, Series 1: Episode 1",15,https://ichef.bbci.co.uk/images/ic/1200x675/p07l28yc.jpg,"Angry, pervy, outrageous and hilarious, Fleabag arrives with a bang.",0.6757657142857143
Comedy,Famalam - Series 3: Episode 5,"BBC, iPlayer, TV, Famalam, Series 3: Episode 5",15,https://ichef.bbci.co.uk/images/ic/1200x675/p08p2853.jpg,Fat Sam goes in search of romance.,0.66128
Comedy,Two Doors Down - Christmas Special,"BBC, iPlayer, TV, Two Doors Down, Christmas Special",15,https://ichef.bbci.co.uk/images/ic/1200x675/p090rw0r.jpg,The neighbours’ friendships are tested at Cathy and Colin’s Scottish Highland lodge.,0.640305
Comedy,Inside No. 9 - Series 6: 6. Last Night of the Proms,"BBC, iPlayer, TV, Inside No. 9, Series 6: 6. Last Night of the Proms",15,https://ichef.bbci.co.uk/images/ic/1200x675/p09kskq0.jpg,Dawn and Mick host their annual Proms party. But not everyone has the same song sheet.,0.64029
Comedy,The Catherine Tate Show - Series 1: Episode 3,"BBC, iPlayer, TV, The Catherine Tate Show, Series 1: Episode 3",15,https://ichef.bbci.co.uk/images/ic/1200x675/p02jppv1.jpg,"Meet the Doncaster Spinners' ageing majorette, the manipulative nan and an enigmatic cop.",0.6401399999999999
Comedy,Limmy's Show - Series 1: Episode 4,"BBC, iPlayer, TV, Limmys Show, Series 1: Episode 4",15,https://ichef.bbci.co.uk/images/ic/1200x675/p08vt0tg.jpg,Hard-bitten ex-junkie Jacqueline McCafferty wants a family portrait for her living room.,0.639915
