showId,category,title,tags,age_rating,rating_description,description,representation,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large,image
1,CBBC,Operation Ouch! - Series 9: 11. Blink and You’ll Miss It!,"BBC, iPlayer, TV, Operation Ouch!, Series 9: 11. Blink and You’ll Miss It!",PG,"injury detail, rude humour, threat",Why is Dr Xand dressed as a bird in the lab? Find out why you blink in today’s experiment.,3.0,28 mins,1692,5pm 17 Mar 2021,Why is Dr Xand dressed as a bird in the lab? Find out why you blink in today’s experiment.,"Why is Dr Xand dressed as a bird in the lab? Find out why you blink in today’s experiment, and discover why babies walk differently to you in Ouch Baby.","Why is Dr Xand dressed as a bird in the lab? Find out why you blink in today’s experiment, and discover why babies walk differently to you in Ouch Baby. We meet three more lifesaving Ouch! Award nominees, and in the Emergency Department, one patient has been injured mountain biking, while another ran into a lamppost!",https://ichef.bbci.co.uk/images/ic/1200x675/p098qs0y.jpg
2,CBBC,The Worst Witch - Series 4: 1. The Three Impossibilities,"BBC, iPlayer, TV, The Worst Witch, Series 4: 1. The Three Impossibilities",PG,threat,A botched potions experiment leaves Mildred with a whole new look. ,3.0,28 mins,1693,27 Jan 2020,A botched potions experiment leaves Mildred with a whole new look.,"When a botched potions experiment leaves Mildred with a whole new look, can she complete three impossible challenges and reverse the spell before the sun goes down?",No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p081m7pj.jpg
3,CBBC,Shaun the Sheep - Series 4: 6. The Smelly Farmer,"BBC, iPlayer, TV, Shaun the Sheep, Series 4: 6. The Smelly Farmer",U,clean,"Shaun, Bitzer and the flock decide to give the farmer a wash.",,7 mins,425,3:50pm 10 Feb 2014,"Shaun, Bitzer and the flock decide to give the farmer a wash.","Animated series. The farmer's personal hygiene leaves much to be desired. Shaun, Bitzer and the flock decide action is needed.","The farmer's personal hygiene leaves much to be desired. Shaun, Bitzer and the flock decide action is needed and set about giving the farmer a full service wash.",https://ichef.bbci.co.uk/images/ic/1200x675/p01rrbf9.jpg
4,CBBC,Pokémon: Black and White - Movies: Black - Victini and Reshiram,"BBC, iPlayer, TV, Pokémon: Black and White, Movies: Black - Victini and Reshiram",PG,contains mild violence and threat,Can Ash awaken Reshiram to help him rescue Victini?,,92 mins,5497,3 Dec 2021,Can Ash awaken Reshiram to help him rescue Victini?,Can Ash awaken legendary Pokémon Reshiram to help him rescue Victini and save Eindoak Town?,"When Ash, Iris and Cilan enter a battle competition in Eindoak Town, they meet and befriend mythical Pokémon Victini. However, disaster strikes when misguided wanderer Damon seizes Victini for his own plans! Can Ash prove himself a hero and earn the help of the legendary Reshiram to rescue Victini and save Eindoak Town?",https://ichef.bbci.co.uk/images/ic/1200x675/p0b64mnf.jpg
6,CBBC,The Next Step - Series 4: 18. Your Time Is Gonna Come,"BBC, iPlayer, TV, The Next Step, Series 4: 18. Your Time Is Gonna Come",U,clean,"As James, Eldon, and West compete in London, Riley and Alfie grow closer.",3.0,22 mins,1302,4:30pm 28 Nov 2016,"As James, Eldon, and West compete in London, Riley and Alfie grow closer.","Reality-style drama series. As James, Eldon, and West compete in London, Riley and Alfie grow closer. Noah makes a big decision.","As James, Eldon, and West compete in London, Riley and Alfie grow closer. Noah makes a big decision.",https://ichef.bbci.co.uk/images/ic/1200x675/p04hwf1g.jpg
7,CBBC,Nowhere Boys - Series 1: Episode 9,"BBC, iPlayer, TV, Nowhere Boys, Series 1: Episode 9",PG,"threat, violence",The boys prepare to return to the Bremin Ranges.,3.0,26 mins,1533,5:30pm 29 Sep 2014,The boys prepare to return to the Bremin Ranges.,"Drama series. The boys return to the Bremin Ranges, hoping to replicate the conditions of their first excursion in a bid to return home.","Drama series about four boys whose lives are changed forever after a spooky school trip. The boys prepare to return to the Bremin Ranges, hoping to replicate the conditions of their first excursion in a bid to return home. Andy believes that they are looking for a wormhole and as usual, he blindly dismisses Felix's belief that magic may be at play.",https://ichef.bbci.co.uk/images/ic/1200x675/p025pg1x.jpg
8,CBBC,Odd Squad - Series 2: 36. The Perfect Score,"BBC, iPlayer, TV, Odd Squad, Series 2: 36. The Perfect Score",U,clean,Its villain report card day at Odd Squad.,3.0,11 mins,684,7:45am 18 Jun 2018,It's villain report card day at Odd Squad.,The Odd Squad investigates strange events. It's villain report card day at Odd Squad.,No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p06b1sw5.jpg
9,CBBC,Tracy Beaker Returns - Series 3: 2. Firestarter,"BBC, iPlayer, TV, Tracy Beaker Returns, Series 3: 2. Firestarter",PG,contains mild emotional upset,"When a fire breaks out, Tracy and Gus set about discovering who the fire starter is.",3.0,28 mins,1694,5:45pm 11 Jan 2012,"When a fire breaks out, Tracy and Gus set about discovering who the fire starter is.","Drama set in a children's home. When a fire breaks out at the Dumping Ground, Tracy and Gus set about discovering who the fire starter is.","There is a fire in the attic. Denis blames Harry, who has built a den up there out of Sapphire's discarded junk. Refusing to see the Burnywood fire and this one as a coincidence, Tracy and Gus break into the sealed attic to get forensic evidence. Just as they find some discarded cigarette butts, Gus falls through the burned floor onto Carmen's bed. Denis blames Tracy for Gus's fall and sacks her. Meanwhile, Lizanne has turned her attentions to Frank, who 'loans' her money.",https://ichef.bbci.co.uk/images/ic/1200x675/p01h8qnv.jpg
10,CBBC,Deadly 60 - Series 1: 1. South Africa,"BBC, iPlayer, TV, Deadly 60, Series 1: 1. South Africa",PG,upsetting scenes,Wildlife presenter Steve Backshall encounters an angry hippo and a venomous scorpion.,1.0,28 mins,1680,5:15pm 28 May 2009,Wildlife presenter Steve Backshall encounters an angry hippo and a venomous scorpion.,"Wildlife series. Steve Backshall tracks down 60 of the world's deadliest animals. In Hoedspruit, South Africa, Steve encounters an angry hippo and a venomous scorpion.","Wildlife presenter Steve Backshall is on a quest to meet 60 of the deadliest animals on the planet. Steve and his team are on a fun-filled, adrenalin-fuelled journey to find those animals most people spend their lifetime avoiding. The action kicks off in Hoedspruit, South Africa. The adventure is nearly over before it's even begun as an angry hippo surprises Steve in a tense encounter on the river. Unscathed and undaunted by the first deadly animal on his list, Steve gets up close and personal with some of South Africa's deadliest snakes and spends the night under the stars in order to find a particularly venomous scorpion.",https://ichef.bbci.co.uk/images/ic/1200x675/p0885lk9.jpg
11,CBBC,Wizards vs Aliens - Series 1: 6. Rebel Magic - Part Two,"BBC, iPlayer, TV, Wizards vs Aliens, Series 1: 6. Rebel Magic - Part Two",PG,contains mild fantasy violence and threat,Tom and Jackson take the fight to the Nekross.,3.0,28 mins,1671,5:15pm 13 Nov 2012,Tom and Jackson take the fight to the Nekross.,"Tom and Jackson take the fight to the Nekross, but their forbidden grim magic is taking its toll on Tom. Can Benny save his best friend?","Tom and Jackson take the fight to the Nekross, but their forbidden grim magic is taking its toll on Tom. Can Benny save his best friend?",https://ichef.bbci.co.uk/images/ic/1200x675/p01hzm5g.jpg
