index,category,title,tags,age_rating,rating_description,description,representation,duration_txt,duration_sec,first_broadcast,synopsis_medium,image,showId,description_all,vader_scores,vader_polarity,vader_sentiment,sentiment,rating_description_score,synopsis,synopsis_nostopwords,unsuitable_ratio,unsuitable_ratio2,age_rating_numeric,cas48,cas911,cas1214,cas1517,diversity,similarity,similarity_scaled,diversity_scaled,recommender_score
226,Science & Nature,Blue Planet II - Series 1: 6. Coasts,"BBC, iPlayer, TV, Blue Planet II, Series 1: 6. Coasts",U,animal hunting,"Coasts are the most changeable of the ocean worlds, but they offer great riches.",,58 mins,3462,3 Dec 2017,"The wildlife series narrated by David Attenborough explores the planet's coasts. They are the most changeable of the ocean worlds, but they offer great riches.",https://ichef.bbci.co.uk/images/ic/1200x675/p05pffv5.jpg,227,"Blue Planet II - Series 1: 6. CoastsThe wildlife series narrated by David Attenborough explores the planet's coasts. They are the most changeable of the ocean worlds, but they offer great riches.Coasts are the most changeable of the ocean worlds, but they offer great riches.animal hunting","{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.9231}",0.9231,Very positive,0.9988,0.9758,"On the coast, two worlds collide. Coasts are the most dynamic and challenging habitats in the ocean - that brings great rewards but also great danger. The extraordinary animals that live here must find ingenious ways to cope with two very different worlds.This episode is a rollercoaster ride of heart-stopping action and epic drama, peopled with characters from the beautiful to the bizarre. We meet fish that live on dry land and puffins that must travel 60 miles or more for a single meal, and witness a life-and-death struggle in a technicolour rock pool.In a secluded cove in the Galapagos, sea lions feast on 60kg tuna. It should be impossible - tuna are usually far too fast for sea lions to catch. But here the sea lions club together to herd their prey inshore. Once trapped in the shallows, these huge fish are easy pickings.As the tide recedes in Brazil, lightfoot crabs leap from rock to rock, desperately avoiding the water - their lives depend on it. Moray eels launch themselves from rock pools, jaw gaping. Then octopuses, too. Both crawl across dry rock to set their ambush. Elsewhere, the ever-changing tides create rock pools. But these temporary worlds are a battleground. Predatory starfish turn a magical garden into the stuff of nightmares. All around the world, immense waves pound the shore, and this episode reveals some of the largest on the planet, over 30 metres high. Over millennia these forces carve exquisite coastal sculptures and cliffs that are home to huge colonies of seabirds. Puffins fly up to 30 miles out to sea to find food for their chicks. A father returns with one precious beakful of food... then pirates attack. Desperate dads must escape the faster and more aerobatic skuas before finally delivering a meal to their young puffling.Meanwhile, in the remote Pacific islands lives the most terrestrial fish on the planet. It lives in miniature caves above the tide lines and uses its tail like a coiled spring to jump from rock to rock. A male tries to attract a mate, but waves are a constant hindrance. These are fish that seem to hate water!Once a year, king penguins return to the cold Antarctic shores of South Georgia for a month-long moult. First they must cross the biggest wall of blubber on the planet - thousands of gigantic elephant seals. Then they face a month with no food, before they can return to their natural home, the chilly Antarctic seas. The planet's coasts are changing fast as they are among the most built-up areas of the world. Just off the beaches of Miami, the largest gathering of coastal sharks on the planet can still be found. But today they must face the many challenges that come from our world too.","coast, two world collide. coast dynamic challenging habitat ocean- brings great reward also great danger. extraordinary animal live must find ingenious way cope two different worlds.this episode rollercoaster ride heart-stopping action epic drama, peopled character beautiful bizarre. meet fish live dry land puffin must travel 60 mile single meal, witness life-and-death struggle technicolour rock pool.in secluded cove galapagos, sea lion feast 60kg tuna. impossible- tuna usually far fast sea lion catch. sea lion club together herd prey inshore. trapped shallow, huge fish easy pickings.as tide recedes brazil, lightfoot crab leap rock rock, desperately avoiding water- life depend. moray eel launch rock pool, jaw gaping. octopus,. crawl across dry rock set ambush. elsewhere, ever-changing tide create rock pool. temporary world battleground. predatory starfish turn magical garden stuff nightmare. around world, immense wave pound shore, episode reveals largest planet, 30 metre high. millennium force carve exquisite coastal sculpture cliff home huge colony seabird. puffin fly 30 mile sea find food chick. father return one precious beakful food... pirate attack. desperate dad must escape faster aerobatic skua finally delivering meal young puffling.meanwhile, remote pacific island life terrestrial fish planet. life miniature cave tide line us tail like coiled spring jump rock rock. male try attract mate, wave constant hindrance. fish seem hate water! year, king penguin return cold antarctic shore south georgia month-long moult. first must cross biggest wall blubber planet- thousand gigantic elephant seal. face month food, return natural home, chilly antarctic sea. planet 's coast changing fast among built-up area world. beach miami, largest gathering coastal shark planet still found. today must face many challenge come world.",-0.0,-0.0,1.0,0.69492,0.74371,0.79129,0.83772,0.9867008250528408,0.12166055634722314,1.0,0.6113300881462678,0.8704433627154226
117,Sports,The Women's Football Show - 2021/22: 13/03/2022,"BBC, iPlayer, TV, The Womens Football Show, 2021/22: 13/03/2022",U,clean,Arsenal travel to Brighton & Hove Albion and Tottenham host Manchester City in the WSL.,,34 mins,2042,9:30pm 13 Mar 2022,Highlights from the FA Women's Super League as Arsenal travel to Brighton & Hove Albion and Tottenham Hotspur host Manchester City.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bvbn51.jpg,118,The Women's Football Show - 2021/22: 13/03/2022Highlights from the FA Women's Super League as Arsenal travel to Brighton & Hove Albion and Tottenham Hotspur host Manchester City.Arsenal travel to Brighton & Hove Albion and Tottenham host Manchester City in the WSL.clean,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.5994}",0.5994,Positive,0.9974,0.9973,"Highlights from the FA Women's Super League as Arsenal travel to Brighton & Hove Albion and Tottenham Hotspur host Manchester City. The other fixtures are Reading v Manchester United, Everton v Leicester City, Chelsea v Aston Villa and Birmingham City v West Ham United.","highlight fa woman 's super league arsenal travel brighton& hove albion tottenham hotspur host manchester city. fixture reading v manchester united, everton v leicester city, chelsea v aston villa birmingham city v west ham united.",-0.0,-0.0,1.0,0.69894,0.7488049999999999,0.798535,0.84826,0.9893207458782128,0.08088914473991064,0.6648756767892005,0.7615240981803737,0.6970918172529249
202,Signed,Amazing Hotels: Life Beyond the Lobby - Series 4: 5. Qasr Al Sarab Desert Resort - Signed,"BBC, iPlayer, TV, Amazing Hotels: Life Beyond the Lobby, Series 4: 5. Qasr Al Sarab Desert Resort",12,infrequent mild bad language,Giles Coren and Monica Galetti visit a hotel in a Middle Eastern desert.,,59 mins,3540,9pm 15 Feb 2022,Giles Coren and Monica Galetti visit an extraordinary hotel built where people usually struggle to survive - deep in a Middle Eastern desert.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bnbttn.jpg,203,Amazing Hotels: Life Beyond the Lobby - Series 4: 5. Qasr Al Sarab Desert Resort - SignedGiles Coren and Monica Galetti visit an extraordinary hotel built where people usually struggle to survive - deep in a Middle Eastern desert.Giles Coren and Monica Galetti visit a hotel in a Middle Eastern desert.infrequent mild bad language,"{'neg': 0.106, 'neu': 0.804, 'pos': 0.09, 'compound': -0.2263}",-0.2263,Neutral,0.9988,-0.9983,"Giles Coren and Monica Galetti visit Qasr Al Sarab Desert Resort, an extraordinary hotel built where people usually struggle to survive - deep in a Middle East desert.Surrounded as far as they eye can see by vast sand dunes and scorching heat, guests relax in palatial comfort with swimming pools, huge baths and lush gardens. Giles and Monica explore how all this water use is made possible and meet the staff who are coping with living and providing hotel service in such an extreme environment.","giles coren monica galetti visit qasr al sarab desert resort, extraordinary hotel built people usually struggle survive- deep middle east desert.surrounded far eye see vast sand dune scorching heat, guest relax palatial comfort swimming pool, huge bath lush garden. giles monica explore water use made possible meet staff coping living providing hotel service extreme environment.",-0.0,-0.25,0.57,0.1336,0.08993499999999999,-0.03214499999999998,-0.25408,0.9846162454620224,0.06744682284167361,0.5543852902429462,0.49182595468229806,0.5335321783893968
70,Documentaries,Blue Planet Revisited - Series 1: 1. A Shark's Tale,"BBC, iPlayer, TV, Blue Planet Revisited, Series 1: 1. A Sharks Tale",U,clean,Steve Backshall reveals why the Bahamas has one of the largest shark populations on earth.,,59 mins,3540,5:35pm 29 Mar 2020,Steve Backshall discovers why the Bahamas provide ideal sanctuary for sharks. What we can learn from these rich tropical waters that will help oceans all across the planet?,https://ichef.bbci.co.uk/images/ic/1200x675/p087lyf7.jpg,71,Blue Planet Revisited - Series 1: 1. A Shark's TaleSteve Backshall discovers why the Bahamas provide ideal sanctuary for sharks. What we can learn from these rich tropical waters that will help oceans all across the planet?Steve Backshall reveals why the Bahamas has one of the largest shark populations on earth.clean,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.8658}",0.8658,Very positive,0.9987,0.9973,"A scattering of some 700 islands in the Atlantic Ocean, the Bahamas are home to one of the largest and most diverse shark populations on the planet. Over the course of three weeks, Steve Backshall discovers why the Bahamas provide such sanctuary for sharks, looking at the protection offered to them, people’s changing attitudes and the key role science plays in their conservation. Steve joins researchers who have dedicated their lives to this unique and often misunderstood group of animals and learns that a healthy shark population is absolutely vital to a healthy marine ecosystem.","scattering 700 island atlantic ocean, bahamas home one largest diverse shark population planet. course three week, steve backshall discovers bahamas provide sanctuary shark, looking protection offered, people ’ changing attitude key role science play conservation. steve join researcher dedicated life unique often misunderstood group animal learns healthy shark population absolutely vital healthy marine ecosystem.",-0.0,-0.0,1.0,0.6992,0.749065,0.7987949999999999,0.848455,0.9843482350138132,0.05198273541760895,0.42727681820925223,0.4764615346747334,0.44367172369774593
14,CBBC,Horrible Histories - Series 9: 4. Precious Planet,"BBC, iPlayer, TV, Horrible Histories, Series 9: 4. Precious Planet",PG,mild injury detail,Charles Darwin hosts a look at how we’ve treated the planet throughout history. ,3.0,29 mins,1739,1 Nov 2021,"Charles Darwin hosts a timely look at how we’ve treated the planet throughout history. With Henry VIII, the inventor of the plastic bag and Judge Rinder!",https://ichef.bbci.co.uk/images/ic/1200x675/p0b11pzp.jpg,15,"Horrible Histories - Series 9: 4. Precious PlanetCharles Darwin hosts a timely look at how we’ve treated the planet throughout history. With Henry VIII, the inventor of the plastic bag and Judge Rinder!Charles Darwin hosts a look at how we’ve treated the planet throughout history. mild injury detail","{'neg': 0.126, 'neu': 0.803, 'pos': 0.071, 'compound': -0.4389}",-0.4389,Negative,0.9987,-0.9687,"Charles Darwin presents a special show, as Horrible Histories takes a timely look at our planet and how we’ve behaved towards it throughout history.We look at how we’ve not always treated the planet's resources with the utmost care, from the 19th-century gold rush, to Henry VIII enjoying a little too much deforestation to build his warships In The Gone Show, we meet a range of animals that have recently become extinct, and we see how mankind has tried to work with and shape the land, from the earliest guides to farming to the fabulous Gardens of Versailles In Historical Educating, head teacher Mrs Thomas has trouble with her geography supply teachers (a Greek philosopher and a Viking), who seem intent on telling their pupils that the Earth is not round. We reveal that plastic bags were originally invented to save the planet, and in Time Beefs, Judge Rinder settles a dispute between environmentalist Rachel Carson and the businessmen who tried to stop her.","charles darwin present special show, horrible history take timely look planet ’ behaved towards throughout history.we look ’ always treated planet 's resource utmost care, 19th-century gold rush, henry viii enjoying little much deforestation build warship gone show, meet range animal recently become extinct, see mankind tried work shape land, earliest guide farming fabulous garden versailles historical educating, head teacher mr thomas trouble geography supply teacher( greek philosopher viking), seem intent telling pupil earth round. reveal plastic bag originally invented save planet, time beef, judge rinder settle dispute environmentalist rachel carson businessmen tried stop.",-0.0,-0.0,0.71,0.21899999999999997,0.170565,0.038195000000000034,-0.19254500000000002,0.9864790070162468,0.04255184465909094,0.34975875449432114,0.5986137724121008,0.43271042713358104
73,Documentaries,A Perfect Planet - Series 1: 1. Volcano,"BBC, iPlayer, TV, A Perfect Planet, Series 1: 1. Volcano",U,clean,"A look at how without volcanoes, there would be no life on Earth.",,59 mins,3549,3 Jan 2021,"A look at how without volcanoes, there would be no life on Earth. Although destructive, magma from the planet’s molten core builds land, and mineral-rich ash from eruptions fertilises the surface.",https://ichef.bbci.co.uk/images/ic/1200x675/p09240nc.jpg,74,"A Perfect Planet - Series 1: 1. VolcanoA look at how without volcanoes, there would be no life on Earth. Although destructive, magma from the planet’s molten core builds land, and mineral-rich ash from eruptions fertilises the surface.A look at how without volcanoes, there would be no life on Earth.clean","{'neg': 0.15, 'neu': 0.784, 'pos': 0.066, 'compound': -0.5719}",-0.5719,Negative,0.9981,0.9973,"A look at how without volcanoes, there would be no life on Earth. Although destructive, magma from the planet’s molten core builds land, and mineral-rich ash from eruptions fertilises the surface.","look without volcano, would life earth. although destructive, magma planet ’ molten core build land, mineral-rich ash eruption fertilises surface.",-0.0,-0.0,1.0,0.69908,0.748945,0.798675,0.848365,0.9827278148958778,0.054710840004990956,0.4497007218086728,0.3835665917834348,0.42765601180026014
231,Science & Nature,Zoo Quest - Zoo Quest for a Dragon: 5. Bali - Part Two,"BBC, iPlayer, TV, Zoo Quest, Zoo Quest for a Dragon: 5. Bali - Part Two",PG,infrequent mild bad language,David Attenborough encounters scaly anteaters as his expedition continues in Bali. (1956),3.0,30 mins,1789,8:15pm 2 Nov 1956,"First transmitted in 1956, the Zoo Quest team wander off the beaten track on the beautiful island of Bali, encountering curious villagers and remarkable creatures.",https://ichef.bbci.co.uk/images/ic/1200x675/p01hz7pg.jpg,232,"Zoo Quest - Zoo Quest for a Dragon: 5. Bali - Part TwoFirst transmitted in 1956, the Zoo Quest team wander off the beaten track on the beautiful island of Bali, encountering curious villagers and remarkable creatures.David Attenborough encounters scaly anteaters as his expedition continues in Bali. (1956)infrequent mild bad language","{'neg': 0.107, 'neu': 0.728, 'pos': 0.166, 'compound': 0.5423}",0.5423,Positive,0.9989,-0.9983,"First transmitted in 1956, David Attenborough walks through avenues of palm trees and rice fields in order to reach a small Balinese village.Once there, he encounters curious villagers and remarkable creatures, including ants that demonstrate some ingenious behaviour.In addition to exploring less celebrated wildlife, this is also an opportunity to witness the unique Balinese culture with its hypnotic music and dance based on ancient Hindu legends.","first transmitted 1956, david attenborough walk avenue palm tree rice field order reach small balinese village.once, encounter curious villager remarkable creature, including ant demonstrate ingenious behaviour.in addition exploring le celebrated wildlife, also opportunity witness unique balinese culture hypnotic music dance based ancient hindu legend.",-0.0,-0.25,0.71,0.17562,0.13195500000000004,0.002875000000000072,-0.22606499999999996,0.9873858325183535,0.03722377884842742,0.3059642333229971,0.6505999840730041,0.42084281690633274
74,Documentaries,Hometown: A Killing - Series 1: 2. Rumours,"BBC, iPlayer, TV, Hometown: A Killing, Series 1: 2. Rumours",15,"violence, suicide, abduction",Journalist Mobeen Azhar discovers that Yassar Yaqub isn’t the only story in town.,2.0,31 mins,1850,19 Jun 2019,"Mobeen Azhar investigates rumours about Yassar Yaqub, and a trial linked to Yaqub begins. With street violence escalating, Mobeen explores drug-related crime in the area.",https://ichef.bbci.co.uk/images/ic/1200x675/p07dgyl8.jpg,75,"Hometown: A Killing - Series 1: 2. RumoursMobeen Azhar investigates rumours about Yassar Yaqub, and a trial linked to Yaqub begins. With street violence escalating, Mobeen explores drug-related crime in the area.Journalist Mobeen Azhar discovers that Yassar Yaqub isn’t the only story in town.violence, suicide, abduction","{'neg': 0.348, 'neu': 0.652, 'pos': 0.0, 'compound': -0.9694}",-0.9694,Very negative,0.9985,-0.9913,"Journalist Mobeen Azhar investigates rumours surrounding Yassar Yaqub, and a trial linked to the night he died starts twenty miles down the road at Leeds Crown Court. With violence on the streets of Huddersfield escalating, Mobeen explores the aftermath of this apparently drug-related crime and uncovers its impact on innocent locals.","journalist mobeen azhar investigates rumour surrounding yassar yaqub, trial linked night died start twenty mile road leeds crown court. violence street huddersfield escalating, mobeen explores aftermath apparently drug-related crime uncovers impact innocent local.",-0.030303030303030304,-0.0,0.21,0.05989454545454548,0.01108712121212127,-0.09778530303030297,-0.3061477272727272,0.9874407233751646,0.03461571307800961,0.2845269996893262,0.6537467501198364,0.40760024983282966
66,Documentaries,Natural World - 2018-2019: 6. Humpback Whales: A Detective Story,"BBC, iPlayer, TV, Natural World, 2018-2019: 6. Humpback Whales: A Detective Story",U,clean,Documentary about our relationship with whales and their future alongside us.,,59 mins,3548,8 Feb 2019,Nature documentary. Tom Mustill returns to California to find out whether the humpback whale that nearly killed him three years earlier was deliberately trying to hurt him.,https://ichef.bbci.co.uk/images/ic/1200x675/p06zlc8r.jpg,67,Natural World - 2018-2019: 6. Humpback Whales: A Detective StoryNature documentary. Tom Mustill returns to California to find out whether the humpback whale that nearly killed him three years earlier was deliberately trying to hurt him.Documentary about our relationship with whales and their future alongside us.clean,"{'neg': 0.154, 'neu': 0.798, 'pos': 0.049, 'compound': -0.7506}",-0.7506,Very negative,0.9977,0.9973,"On 12 September 2015, a 30-ton humpback whale breached and landed on Tom Mustill and his friend Charlotte Kinloch as they paddled a sea kayak in Monterey Bay, California. Incredibly, both survived the incident, but the near-death experience haunted documentary maker Tom and left him wondering if the whale was deliberately trying to hurt them. To find the answer, Tom returned to California in 2018 to investigate. Tom meets those who have survived similar hair-raising encounters and the experts who know the whales best. What he discovers raises far bigger questions, not just about what happened that day but also about our relationship with whales and their future alongside us.","12 september 2015, 30-ton humpback whale breached landed tom mustill friend charlotte kinloch paddled sea kayak monterey bay, california. incredibly, survived incident, near-death experience haunted documentary maker tom left wondering whale deliberately trying hurt. find answer, tom returned california 2018 investigate. tom meet survived similar hair-raising encounter expert know whale best. discovers raise far bigger question, happened day also relationship whale future alongside u.",-0.0,-0.0,1.0,0.699,0.748865,0.7985949999999999,0.8483050000000001,0.9903616063229838,0.022190670076164785,0.1823982294872292,0.8211942235414469,0.3953302275053017
175,Comedy,Porridge (2017) - Series 1: 1. The Go-Between,"BBC, iPlayer, TV, Porridge (2017), Series 1: 1. The Go-Between",PG,"mild bad language, sex references","Fletch has taken to helping his fellow inmates with appeals, letters home and the like.",1.0,30 mins,1800,9:30pm 6 Oct 2017,"Sitcom. Fletch has taken to helping his fellow inmates with appeals, letters home and the like. But when Barry's girlfriend comes to visit, things get complicated.",https://ichef.bbci.co.uk/images/ic/1200x675/p05jgx4w.jpg,176,"Porridge (2017) - Series 1: 1. The Go-BetweenSitcom. Fletch has taken to helping his fellow inmates with appeals, letters home and the like. But when Barry's girlfriend comes to visit, things get complicated.Fletch has taken to helping his fellow inmates with appeals, letters home and the like.mild bad language, sex references","{'neg': 0.083, 'neu': 0.808, 'pos': 0.108, 'compound': -0.1531}",-0.1531,Neutral,0.9879,-0.9994,"Fletch has taken to helping his fellow inmates with appeals, letters home and the like. But when Barry's girlfriend comes to visit, things get complicated.","fletch taken helping fellow inmate appeal, letter home like. barry 's girlfriend come visit, thing get complicated.",-0.0,-0.2,0.71,0.18070000000000003,0.13573000000000005,0.005290000000000017,-0.22451499999999996,0.9863849988981783,0.035621086660636875,0.2927907592249796,0.5932245041213449,0.3929353408571014
